p,t,success,alpha,x11,x12,x22,value,const_value,dist_to_constant,category,is_constant_minimizer
0.01,0.62,True,0.3731099033777144,0.010016762029227426,0.011065120869974639,0.9889348859027671,1.7659256214052026,2.1949605163728396,0.6099832379707726,one_dense_x22,False
0.01,0.63,True,0.36299692348493673,0.010016556565079054,0.011064806774935557,0.9889351995015242,1.8233609519454046,2.24602016075523,0.619983443434921,one_dense_x22,False
0.01,0.64,True,0.3528839412559338,0.010016305642086503,0.011064510055450031,0.9889354970481107,1.8817154060188253,2.297508845145937,0.6299836943579135,one_dense_x22,False
0.01,0.65,True,0.34277096067166957,0.010016085087293968,0.011064215327972422,0.9889357856168445,1.9409889838090053,2.349431599406352,0.639983914912706,one_dense_x22,False
0.01,0.66,True,0.33265797850057194,0.01001589020998913,0.01106393761159405,0.9889360607667987,2.0011816853669493,2.401793959061175,0.6499841097900109,one_dense_x22,False
0.01,0.67,True,0.3225450022030885,0.010015654355685272,0.01106366650792187,0.988936334241088,2.06229351084096,2.454601999731471,0.6599843456443147,one_dense_x22,False
0.01,0.68,True,0.3124320282097475,0.010015467004656664,0.011063398808113835,0.988936601115077,2.124324460325134,2.5078623763725965,0.6699845329953433,one_dense_x22,False
0.01,0.69,True,0.3023190565838295,0.010015257513112724,0.011063139418900072,0.9889368618071614,2.1872745338745103,2.5615823680207814,0.6799847424868872,one_dense_x22,False
0.01,0.7,True,0.2922060807518466,0.010015086177415325,0.01106289557341613,0.9889371074285401,2.251143731605717,2.615769928892821,0.6899849138225846,one_dense_x22,False
0.01,0.71,True,0.28209311356984246,0.010014887953492124,0.011062646041992258,0.9889373566086459,2.3159320536138894,2.6704337468563804,0.6999851120465078,one_dense_x22,False
0.01,0.72,True,0.2719801417828055,0.010014707220411055,0.01106240680400458,0.9889375911066494,2.3816394998865884,2.7255833105029317,0.7099852927795889,one_dense_x22,False
0.01,0.73,True,0.2618671742318022,0.010014536335158981,0.011062181850517187,0.9889378234351303,2.448266070600319,2.781228986323155,0.719985463664841,one_dense_x22,False
0.01,0.74,True,0.25175420973971074,0.01001437910580963,0.011061948741505005,0.9889380523546984,2.515811765752024,2.8373821078216777,0.7299856208941904,one_dense_x22,False
0.01,0.75,True,0.24164124088634822,0.010014200918343213,0.011061739597120267,0.9889382681513891,2.584276585436926,2.894055078835635,0.7399857990816567,one_dense_x22,False
0.01,0.76,True,0.23152826818276717,0.010014027831251205,0.011061521146615481,0.988938472297579,2.653660529714443,2.951261493868817,0.7499859721687488,one_dense_x22,False
0.01,0.77,True,0.22141530178608482,0.010013887646988715,0.011061317630391055,0.9889386780243027,2.723963598602147,3.0090162789600856,0.7599861123530113,one_dense_x22,False
0.01,0.78,True,0.21130233653378952,0.010013750441618249,0.011061114251571521,0.9889388789570646,2.7951857922259835,3.067335857527102,0.7699862495583818,one_dense_x22,False
0.01,0.79,True,0.20118937458391614,0.010013557151874996,0.011060931581887354,0.9889390778620089,2.8673271105672855,3.1262383468426025,0.779986442848125,one_dense_x22,False
0.01,0.8,True,0.19107641002148082,0.010013425514990388,0.011060734144531527,0.9889392678337064,2.9403875537175614,3.1857437924229854,0.7899865744850096,one_dense_x22,False
0.01,0.81,True,0.18096344372683532,0.010013299927726274,0.011060546563548752,0.9889394501675755,3.0143671217263206,3.2458744498007284,0.7999867000722738,one_dense_x22,False
0.01,0.82,True,0.17085047954848365,0.010013069221512098,0.011060349573592292,0.9889396298583925,3.0892658146095098,3.306655126153771,0.8099869307784878,one_dense_x22,False
0.01,0.83,True,0.16073752202426808,0.010013030200674164,0.01106018104222317,0.9889398122080343,3.165083632419068,3.368113598437853,0.8199869697993258,one_dense_x22,False
0.01,0.84,True,0.1506245596852099,0.010012824926972365,0.011060001036383028,0.9889399839800569,3.2418205751887808,3.4302811305652137,0.8299871750730275,one_dense_x22,False
0.01,0.85,True,0.1405116211370027,0.010012707245950242,0.011059838541424111,0.9889401783733316,3.3194766429915328,3.4931931206619122,0.8399872927540497,one_dense_x22,False
0.01,0.86,True,0.13039862756603832,0.010013415967440598,0.011059679882874717,0.9889403050522181,3.3980518358088,3.5568899219053103,0.8499865840325593,one_dense_x22,False
0.01,0.87,True,0.12028567271262733,0.010012501948436144,0.011059502497300802,0.9889404718317691,3.47754615373777,3.6214178991819908,0.8599874980515638,one_dense_x22,False
0.01,0.88,True,0.1101727210760401,0.010012332673869207,0.011059350836836023,0.9889406377626441,3.55795959675987,3.686830812699231,0.8699876673261308,one_dense_x22,False
0.01,0.89,True,0.10005976460177111,0.01001226028745551,0.011059187235408682,0.9889407941611467,3.6392921649246444,3.75319166555462,0.8799877397125445,one_dense_x22,False
0.01,0.9,True,0.08994681240543566,0.010012590029950402,0.011059027879798618,0.9889409512235249,3.721543858264035,3.820575227583184,0.8899874099700497,one_dense_x22,False
0.01,0.91,True,0.07983384400595872,0.010012074645552467,0.011058895178743863,0.9889410868935973,3.8047146767794837,3.889071576378479,0.8999879253544476,one_dense_x22,False
0.01,0.92,True,0.0697208937110585,0.010011857884063826,0.011058733408218335,0.9889412384739404,3.8888046205787243,3.9587912262087372,0.9099881421159363,one_dense_x22,False
0.01,0.93,True,0.05960793344671229,0.010011905574146574,0.01105861631718368,0.9889413758098606,3.9738136895990483,4.0298728495569796,0.9199880944258535,one_dense_x22,False
0.01,0.94,True,0.0494949767763997,0.010011877724066809,0.01105847499373232,0.9889415135976214,4.0597418839011485,4.102495472479411,0.9299881222759332,one_dense_x22,False
0.01,0.95,True,0.0393820213848721,0.010011523575924478,0.011058346109117293,0.9889416494027577,4.146589203512256,4.176898950135489,0.9399884764240755,one_dense_x22,False
0.01,0.96,True,0.029269056378964167,0.010010452765366398,0.011058251663858551,0.9889417721961118,4.234355648443881,4.253421244248535,0.9499895472346336,one_dense_x22,False
0.01,0.97,True,0.019156112979822774,0.010011721548950303,0.011058101345686591,0.9889419139359289,4.323041218768399,4.332574422304287,0.9599882784510496,one_dense_x22,False
0.01,0.98,True,0.009043168413551897,0.01001121273329197,0.011057822059900631,0.9889420512968021,4.412645914430896,4.415228675705667,0.969988787266708,one_dense_x22,False
0.01,0.99,True,0.49963371691253705,0.9899999958129106,0.9900000034050199,0.9899999973746326,4.503217453131585,4.503217453131898,4.187089341911587e-09,constant,True
0.01,1.0,True,0.00010000018742116812,0.999999999376441,0.9999999998434952,1.0,4.60517018595399,4.605170185954866,6.235589822267684e-10,constant,True
0.02,0.02,True,0.5,0.02,0.02,0.02,0.0,0.0,0.0,constant,True
0.02,0.03,True,0.0001511274958751234,0.9999999999967263,0.9747296511897044,0.02523736082995118,0.0017634903395642066,0.002215148081071495,0.9699999999967263,two_dense_x11_x12,False
0.02,0.04,True,0.0005234985750026324,1.0,0.9719160735419037,0.02795058511494378,0.005281940809510713,0.00793137150777154,0.96,two_dense_x11_x12,False
0.02,0.05,True,0.04917125748696982,0.9735517803963717,0.026471105151495124,0.02153228452783487,0.00905789846615968,0.016278478877178197,0.9235517803963716,one_dense_x11,False
0.02,0.06,True,0.05995120754227276,0.9740916891402169,0.02592446435879356,0.02122334632271689,0.013391382984786555,0.026744402703552595,0.9140916891402169,one_dense_x11,False
0.02,0.07,True,0.07049855102514614,0.974435477817328,0.02557698372851126,0.021023549448978954,0.018475537216328112,0.03899118126357186,0.904435477817328,one_dense_x11,False
0.02,0.08,True,0.08093431160072798,0.974675922011471,0.025334129596213492,0.020882314109171934,0.024322241949284534,0.052778959397782224,0.8946759220114711,one_dense_x11,False
0.02,0.09,True,0.09130899089923515,0.9748547410874211,0.025154010684179596,0.02077673854124518,0.03093740906908147,0.06792871104997779,0.8848547410874211,one_dense_x11,False
0.02,0.1,True,0.10164729182868985,0.9749922443412441,0.025014787872394684,0.020694639488711686,0.038324355150398115,0.08430176373713391,0.8749922443412441,one_dense_x11,False
0.02,0.11,True,0.11196234744806298,0.9751020883818275,0.024903818820884764,0.020629008586545736,0.046485097354148894,0.10178760319102224,0.8651020883818276,one_dense_x11,False
0.02,0.12,True,0.1222618119774863,0.9751923257736593,0.024813210252015636,0.020575023110382583,0.05542093766436042,0.120296151818085,0.8551923257736593,one_dense_x11,False
0.02,0.13,True,0.13255052380964732,0.9752670177973983,0.02473782356454781,0.020530043112027288,0.06513275564291264,0.13975263978329713,0.8452670177973983,one_dense_x11,False
0.02,0.14,True,0.1428314570236485,0.9753302910554834,0.024674048326200855,0.020491898842845826,0.07562116766265736,0.16009406398906867,0.8353302910554834,one_dense_x11,False
0.02,0.15,True,0.15310662674118525,0.9753847096534792,0.024619416878094033,0.020459175561812988,0.08688661889606351,0.18126666422812254,0.8253847096534792,one_dense_x11,False
0.02,0.16,True,0.1633775218632144,0.9754315427678403,0.024572116096206555,0.020430753966913042,0.09892943903362461,0.20322407561387665,0.8154315427678402,one_dense_x11,False
0.02,0.17,True,0.17364502444900382,0.975472871442313,0.024530683410481393,0.020405864000102313,0.11174987755500707,0.22592594496896765,0.8054728714423129,one_dense_x11,False
0.02,0.18,True,0.18390998014568669,0.9755090039171194,0.024494129146019065,0.02038383349580915,0.1253481267630668,0.24933687416733807,0.7955090039171193,one_dense_x11,False
0.02,0.19,True,0.19417284401635995,0.9755412009463224,0.024461645691501433,0.02036424664555402,0.13972433732612383,0.27342559929674626,0.7855412009463223,one_dense_x11,False
0.02,0.2,True,0.20443401093214145,0.9755701296745148,0.02443257459565161,0.020346694020657932,0.15487862896024335,0.298164343401457,0.7755701296745148,one_dense_x11,False
0.02,0.21,True,0.21469380694816576,0.9755961984909769,0.024406421400155497,0.02033088585495121,0.170811098009306,0.32352829930352545,0.7655961984909769,one_dense_x11,False
0.02,0.22,True,0.22495251690947918,0.9756196283381351,0.02438273328617877,0.020316562648178917,0.1875218228884313,0.349495211470477,0.7556196283381351,one_dense_x11,False
0.02,0.23,True,0.23521027450484772,0.9756410008871865,0.02436120334035462,0.02030352874000445,0.20501086809895852,0.3760450343859132,0.7456410008871865,one_dense_x11,False
0.02,0.24,True,0.24546724310071807,0.975660533348949,0.02434154594257683,0.020291620691761325,0.22327828711648356,0.40315965077709703,0.735660533348949,one_dense_x11,False
0.02,0.25,True,0.2557235509341741,0.9756784283010445,0.024323523789865374,0.020280694493628963,0.24232412476761708,0.4308226372263677,0.7256784283010445,one_dense_x11,False
0.02,0.26,True,0.2659792879850447,0.9756949121427623,0.02430693933756522,0.020270637619653885,0.26214841878390516,0.45901906769486206,0.7156949121427623,one_dense_x11,False
0.02,0.27,True,0.27623454351201193,0.975710115982995,0.02429162952856483,0.020261345597802637,0.28275120120039376,0.4877353476787918,0.7057101159829949,one_dense_x11,False
0.02,0.28,True,0.2864893775874412,0.9757242036431136,0.024277452454328666,0.020252737402149272,0.304132499488511,0.5169590733410206,0.6957242036431136,one_dense_x11,False
0.02,0.29,True,0.2967438483826416,0.9757372856562927,0.02426428279712355,0.020244735444707278,0.32629233722856016,0.5466789111769211,0.6857372856562927,one_dense_x11,False
0.02,0.3,True,0.3069979993336571,0.9757494735009131,0.024252027506019642,0.020237281794838198,0.34923073467554094,0.576884494695814,0.6757494735009131,one_dense_x11,False
0.02,0.31,True,0.31725187653807135,0.9757608374520118,0.024240574134416833,0.020230319352299856,0.37294770961248097,0.6075663353062266,0.6657608374520119,one_dense_x11,False
0.02,0.32,True,0.3275054871064681,0.9757715336691477,0.024229850395680288,0.02022383657477933,0.39744327749536223,0.6387157451404937,0.6557715336691476,one_dense_x11,False
0.02,0.33,True,0.337758915497649,0.9757814588607842,0.024219827162752047,0.020217696125599417,0.42271745184464943,0.6703247699818207,0.6457814588607842,one_dense_x11,False
0.02,0.34,True,0.3480121365921593,0.9757908257239624,0.02421039354663996,0.0202119543660359,0.44877024461618437,0.7023861307939769,0.6357908257239624,one_dense_x11,False
0.02,0.35,True,0.3582651847651351,0.9757996454192899,0.024201512221782965,0.020206543018503366,0.4756016663698041,0.7348931726216065,0.6257996454192899,one_dense_x11,False
0.02,0.36,True,0.3685180779680973,0.975807965055887,0.02419313661752406,0.02020144475791716,0.5032117265321943,0.7678398198436432,0.615807965055887,one_dense_x11,False
0.02,0.37,True,0.3787708292528713,0.9758158324179464,0.02418523242956859,0.020196627816258285,0.5316004333646976,0.8012205369353884,0.6058158324179465,one_dense_x11,False
0.02,0.38,True,0.38902346101087054,0.9758232636020343,0.024177748159527564,0.02019206849640574,0.5607677943860917,0.8350302940354496,0.5958232636020343,one_dense_x11,False
0.02,0.39,True,0.3992759759854873,0.975830314544359,0.024170664066571337,0.02018774391941712,0.5907138162367596,0.8692645367288543,0.585830314544359,one_dense_x11,False
0.02,0.4,True,0.409528390922442,0.9758370012972772,0.024163929376959315,0.02018363951444709,0.6214385049155913,0.9039191595525137,0.5758370012972772,one_dense_x11,False
0.02,0.41,True,0.4197807185022774,0.9758433414401619,0.02415754365968973,0.020179739746679023,0.6529418658616186,0.9389904828079259,0.565843341440162,one_dense_x11,False
0.02,0.42,True,0.4300329540007124,0.9758493909728738,0.024151465400111486,0.02017603652766326,0.6852239039984376,0.9744752323318291,0.5558493909728739,one_dense_x11,False
0.02,0.43,True,0.4402851207847268,0.9758551351273932,0.02414567213098613,0.020172501238784866,0.7182846237016862,1.010370521930923,0.5458551351273933,one_dense_x11,False
0.02,0.44,True,0.45053721299048427,0.9758606216375796,0.02414014980775643,0.02016912728046984,0.7521240290103479,1.046673838233822,0.5358606216375796,one_dense_x11,False
0.02,0.45,True,0.4607892347857424,0.9758658713692868,0.024134883992956747,0.02016591606137118,0.7867421235857412,1.0833830277537129,0.5258658713692868,one_dense_x11,False
0.02,0.46,True,0.47104120499492497,0.9758708735001336,0.02412983210430394,0.020162834241032383,0.8221389108089611,1.1204962859900085,0.5158708735001336,one_dense_x11,False
0.02,0.47,True,0.48129311959919524,0.9758756592826104,0.02412502300608743,0.020159895102499787,0.8583143936654939,1.1580121484277748,0.5058756592826105,one_dense_x11,False
0.02,0.48,True,0.4915449854903203,0.9758802388541133,0.02412041432476998,0.02015707607804276,0.8952685750202316,1.1959294833206586,0.49588023885411336,one_dense_x11,False
0.02,0.49,True,0.49820320191660467,0.02015437697758972,0.02411598940079184,0.9758846415952711,0.9330014574297688,1.234247486167248,0.4858846415952711,one_dense_x22,False
0.02,0.5,True,0.48795142894746313,0.020151776490512856,0.024111747422713353,0.9758888582956979,0.971513043200464,1.2729656758128873,0.47984822350948714,one_dense_x22,False
0.02,0.51,True,0.47769969512529614,0.020149288504418668,0.02410766437177849,0.975892905710313,1.0108033346163252,1.3120838921294609,0.48985071149558135,one_dense_x22,False
0.02,0.52,True,0.4674479977588646,0.020146904648632974,0.024103766019273394,0.9758967924053287,1.0508723335649273,1.3516022952450837,0.499853095351367,one_dense_x22,False
